review,label,language,product_name,product_description
Je ne capte pas le signal radio. Je dois me trouver dans un endroit sans réseau. C'est pourquoi la radio n'est pas utilisée. Je vais rendre l'article.,"{""plaintes"": [""Mauvaise réception du signal radio"", ""La radio est inutilisable""], ""compliments"": []}",french,Radio,A radio device designed for the reception of radio broadcast signals and frequencies. It functions as a standalone radio receiver for listening to radio transmissions.
"C'est bien car ils sont parfaits pour ranger mes photos, mais ils arrivent mal emballés, et c'est pour cela qu'ils sont abîmés aux coins.","{""plaintes"": [""Arrivent mal emballés"", ""Sont endommagés aux coins""], ""compliments"": [""Parfaits pour stocker des photos""]}",french,Photo Storage Boxes,"A set of dedicated storage containers designed for organizing and preserving photographs. These units offer an efficient solution for archiving photographic memories, ensuring they are kept safely."
did not expect this kind of quality for the price I paid. very surprised. nice product.,"{""plaintes"": [], ""compliments"": [""La qualité du produit est surprenante et dépasse les attentes compte tenu du prix payé."", ""Le produit est agréable.""]}",english,Product,"This product is recognized for offering unexpectedly high quality given its price point, providing excellent value for money. It is generally regarded as a nice and satisfactory item."
"Knt kansta3mel Monin Dark Chocolate o kan3jabni lmdak dialha o nnakha. Ghi bach nbaddal chwiya, kmmandit wahed AhLaska. Achmn ghalta hadi! AhLaska 7elwa kter mn lqyas, o fiha chi mdak ghrib mamfhomch. Lli wesslat lwahed l7add katkhsser ay 7aja kandirha fiha. Dakchi 3lach ghadi n7bas AhLaska o nrejja3 l Monin.

Bach n3awnkom tqarrbo wach had rra'y diali kaynasbkom wella la, ghangol likom ach kanbghi ana flmdak. Kanbghi chchocolat nwar, lli machi 7elwa bzaf. Lqahwa o atay diali kanbghihom bla skkar. Flglass (ice cream), kan3jabni ay 7aja lli dialha mzyan o lmdak dialha metwazen. Lvanilla, chchocolat, lfawakih o lmksarat, kolhom kayjiniw mzyan.

Kantmenna hadchi y3awnkom bach tkhtarw lli kaynasbkom. Bssa7a w ra7a.","{""plaintes"": [""L'achat du produit AhLaska est qualifié d'erreur par le client."",""Le produit AhLaska est excessivement sucré."",""Il possède un goût étrange et incompréhensible."",""Le produit altère (gâche) le goût de tout ce qu'il est ajouté."",""Le client a décidé de cesser d'utiliser AhLaska et de revenir à la marque Monin."",""Le produit ne correspond pas aux préférences du client pour un chocolat noir peu sucré et des boissons sans sucre.""],""compliments"": []}",latin_darija,AhLaska,"AhLaska is a chocolate-flavored product, often used as an additive in various beverages and desserts. It is characterized by a very sweet taste and a unique flavor profile."
هاد الموطارد الحارة هي المفضلة عندي. من بعد واحد سفرة للندن، ما بقيت قدرت ناكل حتى موطارد خرى. فاش وصلني الپْرودوي، كنت فرحان بزاف، ولكن لاحظت باللي كاين واحد ليتيكيت مغطية تاريخ الإنتهاء. حيدتها، و بصح الموطارد كانت سالات ف شهر ديال يناير. ولكن رغم داكشي، حليتها و كنت كنتمنى ما يكون فيها والو. دقت من هاد الموطارد و لقيتها ما بنيناش. كنصحكم تطلبو من شي بياع آخر.,"{""plaintes"": [""Une étiquette masquait la date de péremption du produit."",""La moutarde était périmée depuis le mois de janvier."",""La moutarde n'était pas savoureuse."",""Le client recommande de commander auprès d'un autre vendeur (implicitement en raison de la qualité du produit reçu, qui était périmé).""],""compliments"": [""Cette moutarde piquante est la préférée du client."",""Après un voyage à Londres, le client ne pouvait plus manger d'autres moutardes, ce qui indique une grande appréciation pour ce type de produit.""]}",arabic_darija,Spicy Mustard,"A distinctive and piquant mustard, characterized by its pronounced spicy flavor. This condiment is crafted to deliver an intense and unique taste experience, appealing to those who prefer a bold and hot mustard."
الزلافة كتبقى ثابتة مزيان فوق الكاميلة. ولكن يلاه قدها باش تخلط فيها. باش تذوب الشكلاط، مثالية.,"{""plaintes"": [""Le contenant est trop juste pour faire des mélanges.""],""compliments"": [""Le bol tient bien en place sur la casserole."",""Il est parfait pour faire fondre du chocolat.""]}",arabic_darija,Mixing Bowl,"A versatile mixing bowl designed for excellent stability when placed over a pot, making it ideal for the double-boiler method. Its compact size is suitable for small-batch mixing and is particularly perfect for melting chocolate."
غير الكارطوشة الكحلة لي قرات ليها البرينتر. رجعتها و طلبت رد الفلوس ديال الأخرى. خسارة الثمن ديالها كان مغري بزاف.,"{""plaintes"": [""Seule la cartouche noire était reconnue par l'imprimante."",""Le client a dû demander un retour et un remboursement pour la seconde cartouche.""],""compliments"": [""Le prix était très attractif.""]}",arabic_darija,Black Printer Cartridge,"A black ink cartridge designed for use with compatible printers, essential for monochrome printing."
"Le livre est très descriptif, je ne l'ai pas aimé. L'auteur explique en détail comment il a recherché les personnes, les démarches qu'il a entreprises pour les rencontrer, et ce qu'il leur a dit et ce qu'elles lui ont répondu. J'espérais qu'il y ait plus d'analyse et une prise de recul. Malgré cela, il y a des passages qui donnent à réfléchir, notamment autour de la question du consentement.","{""plaintes"": [""Le livre est trop descriptif"", ""Manque d'analyse et d'une perspective plus large""], ""compliments"": [""Contient des éléments qui incitent à la réflexion, notamment sur le thème du consentement""]}",french,Book,"This book offers a descriptive account detailing an author's research methodology. It outlines the process of identifying individuals, the steps involved in arranging and conducting meetings, and chronicles the dialogues and interactions that transpired. The content explores various themes, including discussions around the critical topic of consent, presented through a detailed, reported narrative style."
أنا كيعجبوني لي صوص الحارين وعندي منهم بزاف. فاش شفت هاد المنتوج فواحد المحل ديال لي صوص الحارين فأوستن (سميتو دموع الفرح)، زربت عليه خديتو. من بين 5 ديال لي صوص لي شريت داك النهار، هادي كانت هي اللولة لي حليت. خاصني نقول بلي تصدمت بزاف وخابت الضنون ديالي.فالحقيقة ما عرفتش علاش جاتني المذاق ديالها خايب لهاد الدرجة. هاهي المكونات لي مكتوبة فالتيكيتة:ماء نقي، زيت الصوجا، فلفل الهالابينيو، سكر القصب، خل، طماطم خضراء طرية، جذر الواسابي، ملحة، عصير الحامض، قزبور، سكينجبير، غبرة ديال الموطارد، ورق أتاي الخضر، فيتامين سي، ثومة غبرة، بصلة غبرة، خرقوم، حمض السيتريك و إريثوبات الصوديوم.يمكن تكون كترة زيت الصوجا هي السبب، ولكن لاصوص المذاق ديالها باسل وكتكمي. كنت كنتسنى ديك الجهد ديال الواسابي لي كيسرّح النيف، ولكن يالله كنحس بالمذاق ديالو شوية. بالنسبة لماركة مكتوب عليها الحرورة، عيب ما تلقى تا شوية ديال الحرورة لداخل فالقرعة. الورق ديال أتاي الخضر زايد غير فالمنظر ديال لا صوص (مع دوك الطريفات ديالو وديال القزبور لي كيبانو) ولكن فالمذاق والو. يمكن المشكل غير فيا أنا ولا فالقرعة لي شريت، ولكن الصراحة ما عجباتنيش وندمت علاش خديتها.,"{""plaintes"": [""Les attentes du client ont été déçues"",""Le goût de la sauce est très mauvais"",""La sauce est fade et a un goût fumé"",""Le piquant du wasabi est à peine perceptible"",""Le produit manque de piquant, malgré son appellation 'chaude'"",""Les feuilles de thé vert et les morceaux de coriandre n'apportent rien au goût, servant uniquement à l'apparence"",""Le client regrette son achat""],""compliments"": []}",arabic_darija,Wasabi & Jalapeño Hot Sauce with Green Tea,"A unique hot sauce featuring a distinctive blend of Wasabi root and Jalapeño peppers. This sauce is crafted with a base of purified water, soybean oil, cane sugar, and vinegar, complemented by fresh green tomatoes, lemon juice, cilantro, and ginger. It includes notable ingredients such as green tea leaves, mustard powder, garlic powder, onion powder, and turmeric. The formulation is enhanced with Vitamin C, Citric Acid, and Sodium Erythorbate. This hot sauce offers a complex flavor profile and contains visible pieces of green tea leaves and cilantro for an appealing texture."
من بعد يومين منين استلمنا الباكاج ديالنا، جاتنا واحد لبرا كتقولنا بلي ما خاصناش نشريو من هنا.,"{""plaintes"": [], ""compliments"": []}",arabic_darija,Not specified,Not specified
